@relation BTC-Indicators

@attribute index numeric
@attribute Date date yyyy/MM/dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2589,2021/11/2,60963.25391,64242.79297,60673.05469,63226.40234,63226.40234,37746665647,61253.012276,61671.030693,61726.792611,61108.957197,47.652054,0,65247.076981,57857.299975,2141.937227
2590,2021/11/3,63254.33594,63516.9375,61184.23828,62970.04688,62970.04688,36124731509,61894.106584,61455.117189,62037.606178,61357.102488,42.65551,0,64992.377347,58676.851953,2113.588722
2591,2021/11/4,62941.80469,63123.28906,60799.66406,61452.23047,61452.23047,32615846901,62012.691406,61400.978516,61891.262251,61369.786219,47.930679,0.23434,64988.199978,58666.857447,1946.212503
2592,2021/11/5,61460.07813,62541.46875,60844.60938,61125.67578,61125.67578,30605102446,61855.22154,61431.936384,61699.865633,61337.23816,51.265622,0.390756,64987.026399,58691.380635,1766.848281
2593,2021/11/6,61068.875,61590.68359,60163.78125,61527.48047,61527.48047,29094934221,61803.599889,61441.498047,61656.769342,61362.603801,50.397861,0.364231,64986.240433,58689.552929,1638.23853
2594,2021/11/7,61554.92188,63326.98828,61432.48828,63326.98828,63326.98828,24726754302,62090.461496,61612.651786,62074.324077,61624.521732,56.597482,0.688695,65120.646109,58685.238268,1662.357
2595,2021/11/8,63344.06641,67673.74219,63344.06641,67566.82813,67566.82813,41125608330,63027.950336,61936.009208,63447.45009,62416.829252,61.155504,1,66045.701804,58090.666167,2000.529841
2596,2021/11/9,67549.73438,68530.33594,66382.0625,66971.82813,66971.82813,42357991721,63563.011163,62408.011719,64328.5446,63024.162435,68.144553,1,66315.955225,57918.311965,2195.217624
2597,2021/11/10,66953.33594,68789.625,63208.11328,64995.23047,64995.23047,48730828378,63852.323104,62873.214844,64495.216068,63286.971507,67.790174,0.986097,66648.483436,57864.289613,2165.056756
2598,2021/11/11,64978.89063,65579.01563,64180.48828,64949.96094,64949.96094,35880633236,64351.998886,63182.345146,64608.902286,63508.703431,63.349136,0.811864,66953.921557,57984.621023,2113.14219
2599,2021/11/12,64863.98047,65460.81641,62333.91406,64155.94141,64155.94141,36084893887,64784.893976,63320.057758,64495.662067,63595.001828,56.260347,0.533752,67122.595036,58092.179966,1985.046403
2600,2021/11/13,64158.12109,64915.67578,63303.73438,64469.52734,64469.52734,30474228777,65205.186386,63504.393137,64489.128385,63711.60523,58.393721,0.61745,67300.24346,58268.400682,1887.080246
2601,2021/11/14,64455.37109,65495.17969,63647.80859,65466.83984,65466.83984,25122092191,65510.879466,63800.670481,64733.556249,63945.636511,63.126036,0.803111,67578.223006,58233.122698,1868.37864
2602,2021/11/15,65521.28906,66281.57031,63548.14453,63557.87109,63557.87109,30558763548,64938.171317,63983.060826,64439.634959,63893.934455,57.339808,0.576102,67588.057517,58542.695999,1680.151912
2603,2021/11/16,63721.19531,63721.19531,59016.33594,60161.24609,60161.24609,46844335592,63965.231026,63764.121094,63370.037742,63396.242673,41.746692,0,67365.798545,58932.840908,1242.577958
2604,2021/11/17,60139.62109,60823.60938,58515.41016,60368.01172,60368.01172,39178392930,63304.199776,63578.26144,62619.531236,62992.478546,42.974941,0.046528,67386.556783,58886.67017,902.083053
2605,2021/11/18,60360.13672,60948.5,56550.79297,56942.13672,56942.13672,41388338699,62160.224887,63256.111886,61200.182607,62185.766303,38.960852,0,67939.107349,57805.536792,351.744219
2606,2021/11/19,56896.12891,58351.11328,55705.17969,58119.57813,58119.57813,38702407772,61297.887276,63041.390626,60430.031488,61643.60788,42.93634,0.136223,68167.892574,57199.826177,10.485538
2607,2021/11/20,58115.08203,59859.87891,57469.72656,59697.19531,59697.19531,30624264863,60616.125557,62910.655971,60246.822443,61384.086204,45.924445,0.238612,68218.166366,56987.376213,-131.152064
2608,2021/11/21,59730.50781,60004.42578,58618.92969,58730.47656,58730.47656,26123447605,59653.787946,62582.333706,59867.735973,61030.271584,39.370574,0.014039,68328.352008,56649.797602,-317.74425
2609,2021/11/22,58706.84766,59266.35938,55679.83984,56289.28906,56289.28906,35036121783,58615.419084,61776.795201,58973.124244,60398.140581,21.554386,0,68589.560757,55694.877525,-655.052296
2610,2021/11/23,56304.55469,57875.51563,55632.76172,57569.07422,57569.07422,37485803899,58245.108817,61105.169921,58622.111738,60020.931733,27.075142,0.119404,68619.003628,55125.337388,-809.768874
2611,2021/11/24,57565.85156,57803.06641,55964.22266,56280.42578,56280.42578,36635566789,57661.167969,60482.683872,58036.690249,59522.197606,28.014925,0.154578,68809.671724,54417.488823,-1024.555598
2612,2021/11/25,57165.41797,59367.96875,57146.68359,57274.67969,57274.67969,34284016248,57708.674107,59934.449497,57846.187609,59222.52855,31.522092,0.239772,68873.606522,53968.454416,-1101.846245
2613,2021/11/26,58960.28516,59183.48047,53569.76563,53569.76563,53569.76563,41810748221,57058.700893,59178.294084,56777.082114,58468.826828,27.647149,0.146561,69260.21106,52786.078394,-1445.393642
2614,2021/11/27,53736.42969,55329.25781,53668.35547,54815.07813,54815.07813,30560857714,56361.255581,58488.690569,56286.581118,57981.660335,30.386246,0.212449,69204.6914,51990.407039,-1598.741818
