,Date,Open,High,Low,Close,Adj Close,Volume
2705,2022/2/26,39213.08203,40005.34766,38702.53516,39105.14844,39105.14844,17467554129.0
2706,2022/2/27,39098.69922,39778.94141,37268.97656,37709.78516,37709.78516,23450127612.0
2707,2022/2/28,37706.0,43760.45703,37518.21484,43193.23438,43193.23438,35690014104.0
2708,2022/3/1,43194.50391,44793.60156,42952.58594,44354.63672,44354.63672,32479047645.0
2709,2022/3/2,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630.0
2710,2022/3/3,43925.19531,44021.57813,41914.75,42451.78906,42451.78906,24967782593.0
2711,2022/3/4,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427.0
2712,2022/3/5,39148.44922,39566.33594,38777.03516,39400.58594,39400.58594,16975917450.0
2713,2022/3/6,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902.0
2714,2022/3/7,38429.30469,39430.22656,37260.20313,38062.03906,38062.03906,28546143503.0
2715,2022/3/8,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476.0
2716,2022/3/9,38742.81641,42465.67188,38706.09375,41982.92578,41982.92578,32284121034.0
2717,2022/3/10,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711.0
2718,2022/3/11,39439.96875,40081.67969,38347.43359,38794.97266,38794.97266,26364890465.0
2719,2022/3/12,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657.0
2720,2022/3/13,38884.72656,39209.35156,37728.14453,37849.66406,37849.66406,17300745310.0
2721,2022/3/14,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070.0
2722,2022/3/15,39664.25,39794.62891,38310.21094,39338.78516,39338.78516,23934000868.0
2723,2022/3/16,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192.0
2724,2022/3/17,41140.84375,41287.53516,40662.87109,40951.37891,40951.37891,22009601093.0
2725,2022/3/18,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942.0
2726,2022/3/19,41794.64844,42316.55469,41602.66797,42190.65234,42190.65234,19664853187.0
2727,2022/3/20,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682.0
2728,2022/3/21,41246.13281,41454.41016,40668.04297,41077.99609,41077.99609,24615543271.0
2729,2022/3/22,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376.0
2730,2022/3/23,42364.37891,42893.50781,41877.50781,42892.95703,42892.95703,25242943069.0
2731,2022/3/24,42886.65234,44131.85547,42726.16406,43960.93359,43960.93359,31042992291.0
2732,2022/3/25,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034.0
2733,2022/3/26,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995.0
2734,2022/3/27,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722.0
2735,2022/3/28,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703.0
2736,2022/3/29,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069.0
2737,2022/3/30,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962.0
2738,2022/3/31,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106.0
2739,2022/4/1,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287.0
2740,2022/4/2,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194.0
2741,2022/4/3,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610.0
2742,2022/4/4,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455.0
2743,2022/4/5,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055.0
2744,2022/4/6,45544.35547,45544.35547,43193.95313,43206.73828,43206.73828,39393395788.0
2745,2022/4/7,43207.5,43860.69922,42899.90625,43503.84766,43503.84766,26101973106.0
2746,2022/4/8,43505.13672,43903.01953,42183.28906,42287.66406,42287.66406,27215995394.0
2747,2022/4/9,42282.07813,42786.81641,42183.25391,42782.13672,42782.13672,16050772496.0
2748,2022/4/10,42781.08984,43376.37891,42021.20703,42207.67188,42207.67188,17654475582.0
2749,2022/4/11,42201.03906,42424.58984,39373.05859,39521.90234,39521.90234,33949912166.0
2750,2022/4/12,39533.71484,40617.58594,39388.32813,40127.18359,40127.18359,30991500854.0
2751,2022/4/13,40123.57031,41430.05469,39712.74609,41166.73047,41166.73047,27691105228.0
2752,2022/4/14,41160.21875,41451.48047,39695.74609,39935.51563,39935.51563,24342001973.0
2753,2022/4/15,39939.40234,40617.72266,39866.83203,40553.46484,40553.46484,21756855753.0
2754,2022/4/16,40552.31641,40633.67969,40078.42578,40424.48438,40424.48438,16833150693.0
2755,2022/4/17,40417.77734,40570.72656,39620.89453,39716.95313,39716.95313,19087633042.0
2756,2022/4/18,39721.20313,40986.32031,38696.19141,40826.21484,40826.21484,33705182072.0
2757,2022/4/19,40828.17578,41672.96094,40618.63281,41502.75,41502.75,25303206547.0
2758,2022/4/20,41501.74609,42126.30078,40961.09766,41374.37891,41374.37891,27819532341.0
2759,2022/4/21,41371.51563,42893.58203,40063.82813,40527.36328,40527.36328,35372786395.0
2760,2022/4/22,40525.86328,40777.75781,39315.41797,39740.32031,39740.32031,28011716745.0
2761,2022/4/23,39738.72266,39935.85938,39352.20313,39486.73047,39486.73047,16138021249.0
2762,2022/4/24,39478.375,39845.92578,39233.53906,39469.29297,39469.29297,17964398167.0
2763,2022/4/25,39472.60547,40491.75391,38338.37891,40458.30859,40458.30859,35445730570.0
2764,2022/4/26,40448.42188,40713.89063,37884.98438,38117.46094,38117.46094,34569088416.0
2765,2022/4/27,38120.30078,39397.91797,37997.3125,39241.12109,39241.12109,30981015184.0
2766,2022/4/28,39241.42969,40269.46484,38941.42188,39773.82813,39773.82813,33903704907.0
2767,2022/4/29,39768.61719,39887.26953,38235.53516,38609.82422,38609.82422,30882994649.0
2768,2022/4/30,38605.85938,38771.21094,37697.94141,37714.875,37714.875,23895713731.0
2769,2022/5/1,37713.26563,38627.85938,37585.78906,38469.09375,38469.09375,27002760110.0
2770,2022/5/2,38472.1875,39074.97266,38156.5625,38529.32813,38529.32813,32922642426.0
2771,2022/5/3,38528.10938,38629.99609,37585.62109,37750.45313,37750.45313,27326943244.0
2772,2022/5/4,37748.01172,39902.94922,37732.05859,39698.37109,39698.37109,36754404490.0
2773,2022/5/5,39695.74609,39789.28125,35856.51563,36575.14063,36575.14063,43106256317.0
2774,2022/5/6,36573.18359,36624.35938,35482.13281,36040.92188,36040.92188,37795577489.0
2775,2022/5/7,36042.50391,36129.92578,34940.82422,35501.95313,35501.95313,24375896406.0
2776,2022/5/8,35502.94141,35502.94141,33878.96484,34059.26563,34059.26563,36763041910.0
2777,2022/5/9,34060.01563,34222.07422,30296.95313,30296.95313,30296.95313,63355494961.0
2778,2022/5/10,30273.6543,32596.30859,29944.80273,31022.90625,31022.90625,59811038817.0
2779,2022/5/11,31016.18359,32013.40234,28170.41406,28936.35547,28936.35547,70388855818.0
2780,2022/5/12,28936.73438,30032.43945,26350.49023,29047.75195,29047.75195,66989173272.0
2781,2022/5/13,29030.91016,30924.80273,28782.33008,29283.10352,29283.10352,42841124537.0
2782,2022/5/14,29285.64258,30192.80273,28702.91016,30101.26563,30101.26563,28579868620.0
2783,2022/5/15,30098.58594,31308.19141,29527.74023,31305.11328,31305.11328,25835372065.0
2784,2022/5/16,31304.375,31305.3418,29251.88477,29862.91797,29862.91797,32613897286.0
2785,2022/5/17,29862.4082,30694.49023,29570.30273,30425.85742,30425.85742,29101473475.0
2786,2022/5/18,30424.47852,30618.7168,28720.27148,28720.27148,28720.27148,31285268319.0
2787,2022/5/19,28720.35938,30430.75195,28708.95508,30314.33398,30314.33398,33773447707.0
2788,2022/5/20,30311.11914,30664.97656,28793.60547,29200.74023,29200.74023,30749382605.0
2789,2022/5/21,29199.85938,29588.86914,29027.39453,29432.22656,29432.22656,17274840442.0
2790,2022/5/22,29432.47266,30425.86133,29275.18359,30323.72266,30323.72266,21631532270.0
2791,2022/5/23,30309.39648,30590.58594,28975.56055,29098.91016,29098.91016,31483454557.0
2792,2022/5/24,29101.125,29774.35547,28786.58984,29655.58594,29655.58594,26616506245.0
2793,2022/5/25,29653.13477,30157.78516,29384.94922,29562.36133,29562.36133,27525063551.0
2794,2022/5/26,29564.77734,29834.16016,28261.90625,29267.22461,29267.22461,36774325352.0
2795,2022/5/27,29251.14063,29346.94336,28326.61328,28627.57422,28627.57422,36582005748.0
2796,2022/5/28,28622.625,28814.90039,28554.56641,28814.90039,28814.90039,35519577634.0
2797,2022/5/29,29019.86719,29498.00977,28841.10742,29445.95703,29445.95703,18093886409.0
2798,2022/5/30,29443.36523,31949.63086,29303.57227,31726.39063,31726.39063,39277993274.0
2799,2022/5/31,31723.86523,32249.86328,31286.1543,31792.31055,31792.31055,33538210634.0
2800,2022/6/1,31792.55469,31957.28516,29501.58789,29799.08008,29799.08008,41135817341.0
2801,2022/6/2,29794.89063,30604.73438,29652.70508,30467.48828,30467.48828,29083562061.0
2802,2022/6/3,30467.80664,30633.03516,29375.68945,29704.39063,29704.39063,26175547452.0
2803,2022/6/4,29706.13867,29930.56445,29500.00586,29832.91406,29832.91406,16588370958.0
2804,2022/6/5,29835.11719,30117.74414,29574.44922,29906.66211,29906.66211,17264085441.0
2805,2022/6/6,29910.2832,31693.29102,29894.1875,31370.67188,31370.67188,31947336829.0
2806,2022/6/7,31371.74219,31489.68359,29311.68359,31155.47852,31155.47852,40770974039.0
2807,2022/6/8,31151.48047,31253.69141,29944.4043,30214.35547,30214.35547,30242059107.0
